Date,AAPL,GOOGL,AMZN,MSFT,TSLA,NFLX,NVDA,V,QQQ,SPY
2010-01-04,6.431896686553955,15.59092903137207,6.695000171661377,23.211442947387695,,7.639999866485596,0.4238542914390564,19.719200134277344,40.4858283996582,85.76848602294922
2010-01-05,6.443017959594727,15.522272109985352,6.734499931335449,23.21893882751465,,7.3585710525512695,0.4300435781478882,19.49324607849121,40.4858283996582,85.99547576904297
2010-01-06,6.340531349182129,15.130976676940918,6.612500190734863,23.076448440551758,,7.617143154144287,0.43279433250427246,19.231483459472656,40.241607666015625,86.05602264404297
2010-01-07,6.328811168670654,14.77873420715332,6.5,22.836458206176758,,7.485713958740234,0.42431268095970154,19.41047477722168,40.26776885986328,86.4193115234375
2010-01-08,6.37088680267334,14.975750923156738,6.676000118255615,22.993955612182617,,7.614285945892334,0.4252296984195709,19.464149475097656,40.59918975830078,86.70687866210938
2010-01-11,6.3146843910217285,14.953113555908203,6.515500068664551,22.701459884643555,,7.604286193847656,0.4192695617675781,19.408226013183594,40.433467864990234,86.82795715332031
2010-01-12,6.242854118347168,14.68868350982666,6.367499828338623,22.551464080810547,,7.481429100036621,0.4050569534301758,19.316497802734375,39.92763137817383,86.01815795898438
2010-01-13,6.330913066864014,14.604354858398438,6.45550012588501,22.76146125793457,,7.708570957183838,0.41055870056152344,19.495481491088867,40.42475509643555,86.7447280883789
2010-01-14,6.294249534606934,14.673011779785156,6.367499828338623,23.21893882751465,,7.284286022186279,0.4041401147842407,19.562599182128906,40.459651947021484,86.97933197021484
2010-01-15,6.189057350158691,14.427985191345215,6.35699987411499,23.143945693969727,,7.278571128845215,0.39221981167793274,19.27175521850586,39.98869323730469,86.00303649902344
2010-01-19,6.462851047515869,14.617538452148438,6.380499839782715,23.323936462402344,,7.314286231994629,0.39955538511276245,19.654321670532227,40.63408279418945,87.07772064208984
2010-01-20,6.363372802734375,14.438183784484863,6.289000034332275,22.941444396972656,,7.320000171661377,0.3979507088661194,19.558120727539062,40.049713134765625,86.1922378540039
2010-01-21,6.253376483917236,14.502115249633789,6.330999851226807,22.5064754486084,,7.312857151031494,0.3908444344997406,18.89365577697754,39.67470932006836,84.53484344482422
2010-01-22,5.943214416503906,13.68195915222168,6.071499824523926,21.7189998626709,,7.269999980926514,0.37731966376304626,18.50884437561035,38.514732360839844,82.65040588378906
2010-01-25,6.103104114532471,13.432951927185059,6.015500068664551,21.988990783691406,,7.018570899963379,0.38373830914497375,18.352235794067383,38.64556884765625,83.07422637939453
2010-01-26,6.18936014175415,13.493151664733887,5.973999977111816,22.123991012573242,,7.135714054107666,0.3715888261795044,18.155363082885742,38.680442810058594,82.72611236572266
2010-01-27,6.247664928436279,13.485191345214844,6.137499809265137,22.251482009887695,,7.281428813934326,0.3816751539707184,18.772850036621094,38.98568344116211,83.11962127685547
2010-01-28,5.989498615264893,13.290910720825195,6.301499843597412,21.868995666503906,,9.005714416503906,0.36883795261383057,18.490957260131836,37.98271942138672,82.16606140136719
2010-01-29,5.772208213806152,13.18270206451416,6.270500183105469,21.134037017822266,,8.89285659790039,0.35279160737991333,18.352235794067383,37.31986618041992,81.27306365966797
2010-02-01,5.852451801300049,13.259317398071289,5.94350004196167,21.3065242767334,,8.718570709228516,0.37984123826026917,18.716920852661133,37.72977828979492,82.53689575195312
2010-02-02,5.886412620544434,13.212053298950195,5.906000137329102,21.34402847290039,,8.835714340209961,0.38373830914497375,18.795217514038086,38.06991958618164,83.53587341308594
2010-02-03,5.987695693969727,13.453349113464355,5.954999923706055,21.471515655517578,,8.850000381469727,0.3869474530220032,18.685592651367188,38.27925109863281,83.11962127685547
2010-02-04,5.771907329559326,13.104094505310059,5.796999931335449,20.879047393798828,,8.619999885559082,0.3644825220108032,18.58043670654297,37.17158889770508,80.55409240722656
2010-02-05,5.874392509460449,13.216282844543457,5.869500160217285,21.014041900634766,,8.691429138183594,0.3718181550502777,18.47081184387207,37.48556900024414,80.72057342529297
2010-02-08,5.8341169357299805,13.27051067352295,5.8414998054504395,20.789047241210938,,8.699999809265137,0.3711302578449249,18.58043670654297,37.21519088745117,80.13783264160156
2010-02-09,5.8963303565979,13.344392776489258,5.901500225067139,21.00653839111328,,8.875714302062988,0.36815017461776733,18.629661560058594,37.598976135253906,81.1443862915039
2010-02-10,5.864173412322998,13.294891357421875,5.868000030517578,20.991535186767578,,8.784285545349121,0.3752565085887909,18.740564346313477,37.52044677734375,80.98544311523438
2010-02-11,5.970864772796631,13.343398094177246,6.004499912261963,21.08903694152832,,9.05142879486084,0.3924490809440613,19.076663970947266,38.087371826171875,81.83308410644531
2010-02-12,6.022256851196289,13.261805534362793,5.982999801635742,20.946542739868164,,9.025713920593262,0.3977215588092804,18.996002197265625,38.16585159301758,81.76496887207031
2010-02-16,6.113022327423096,13.465290069580078,5.876500129699707,21.360952377319336,,9.265713691711426,0.4050569534301758,19.242469787597656,38.65427017211914,83.05149841308594
2010-02-17,6.0874762535095215,13.388423919677734,5.815499782562256,21.541784286499023,,9.215714454650879,0.408953994512558,19.363468170166016,38.87229919433594,83.4450454711914
2010-02-18,6.09889554977417,13.513051986694336,5.9039998054504395,21.82810401916504,,9.442856788635254,0.3821333944797516,19.48445701599121,39.11652755737305,83.9369888305664
2010-02-19,6.061028957366943,13.451857566833496,5.875999927520752,21.677413940429688,,9.521429061889648,0.3800704777240753,19.450847625732422,39.09907150268555,84.11105346679688
