,Is_Stock,Is_ETF,Is_Reits,Is_Commodity,Is_Alts,Is_Crypto,Is_International
OJ=F,0,0,0,1,0,0,0
PL=F,0,0,0,1,0,0,0
PA=F,0,0,0,1,0,0,0
LBS=F,0,0,0,1,0,0,0
CC=F,0,0,0,1,0,0,0
RB=F,0,0,0,1,0,0,0
HO=F,0,0,0,1,0,0,0
BTC-USD,0,0,0,0,0,1,0
ETH-USD,0,0,0,0,0,1,0
USDT-USD,0,0,0,0,0,1,0
BNB-USD,0,0,0,0,0,1,0
SOL-USD,0,0,0,0,0,1,0
XRP-USD,0,0,0,0,0,1,0
ADA-USD,0,0,0,0,0,1,0
DOGE-USD,0,0,0,0,0,1,0
AVAX-USD,0,0,0,0,0,1,0
TRX-USD,0,0,0,0,0,1,0
LINK-USD,0,0,0,0,0,1,0
MATIC-USD,0,0,0,0,0,1,0
DOT-USD,0,0,0,0,0,1,0
LTC-USD,0,0,0,0,0,1,0
BCH-USD,0,0,0,0,0,1,0
UNI1-USD,0,0,0,0,0,1,0
ATOM1-USD,0,0,0,0,0,1,0
XLM-USD,0,0,0,0,0,1,0
FIL-USD,0,0,0,0,0,1,0
ETC-USD,0,0,0,0,0,1,0
ALTS,0,1,0,0,1,0,0
QAI,0,1,0,0,1,0,0
MNA,0,1,0,0,1,0,0
HDG,0,1,0,0,1,0,0
DBMF,0,1,0,0,1,0,0
PSP,0,1,0,0,1,0,0
GURU,0,1,0,0,1,0,0
PFF,0,1,0,0,1,0,0
JETS,0,1,0,0,1,0,0
ARKK,0,1,0,0,1,0,0
ARKW,0,1,0,0,1,0,0
ARKG,0,1,0,0,1,0,0
ARKF,0,1,0,0,1,0,0
ARKQ,0,1,0,0,1,0,0
ARKX,0,1,0,0,1,0,0
SRLN,0,1,0,0,1,0,0
HYLB,0,1,0,0,1,0,0
HYD,0,1,0,0,1,0,0
VYMI,0,1,0,0,1,0,0
VIGI,0,1,0,0,1,0,0
VEA,0,1,0,0,0,0,1
VWO,0,1,0,0,0,0,1
IEFA,0,1,0,0,0,0,1
EFA,0,1,0,0,0,0,1
EEM,0,1,0,0,0,0,1
SPDW,0,1,0,0,0,0,1
SCHF,0,1,0,0,0,0,1
IEMG,0,1,0,0,0,0,1
EWJ,0,1,0,0,0,0,1
EWZ,0,1,0,0,0,0,1
EWG,0,1,0,0,0,0,1
EWT,0,1,0,0,0,0,1
EWS,0,1,0,0,0,0,1
EWL,0,1,0,0,0,0,1
EWH,0,1,0,0,0,0,1
